-> (0, 0), (0, 2)
-> (0, 0), (4, 0)
-> (0, 1), (0, 3)
-> (0, 1), (2, 1)
-> (0, 2), (0, 7)
-> (0, 2), (1, 4)
-> (0, 2), (4, 3)
-> (0, 2), (7, 2)
-> (0, 3), (1, 6)
-> (0, 3), (5, 3)
-> (0, 4), (1, 7)
-> (0, 4), (4, 6)
-> (0, 4), (5, 4)
-> (0, 5), (5, 6)
-> (0, 7), (4, 7)
-> (1, 0), (1, 3)
-> (1, 0), (7, 0)
-> (1, 1), (1, 4)
-> (1, 1), (2, 3)
-> (1, 1), (4, 2)
-> (1, 2), (1, 5)
-> (1, 7), (6, 7)
-> (2, 0), (4, 3)
-> (2, 0), (7, 1)
-> (2, 1), (2, 6)
-> (2, 2), (4, 4)
-> (2, 3), (2, 7)
-> (2, 3), (4, 6)
-> (2, 3), (6, 3)
-> (2, 4), (4, 7)
-> (2, 4), (5, 6)
-> (2, 4), (7, 4)
-> (2, 5), (5, 7)
-> (2, 5), (7, 6)
-> (2, 6), (7, 7)
-> (5, 0), (6, 3)
-> (5, 2), (5, 4)
-> (5, 2), (7, 3)
-> (5, 3), (5, 7)
-> (5, 4), (7, 6)
-> (5, 5), (7, 7)
-> (6, 0), (7, 4)
-> (6, 2), (7, 6)
-> (6, 4), (7, 7)
-> (7, 0), (7, 6)
-> (7, 2), (7, 7)
46
